model,quality,kodak,psnr,ssim,vif,bpp,mse,mae
bmshj2018-factorized,1,18,31.3,0.9216,1.0011,0.3952,7.41 × 10^-4,1.94 × 10^-2
bmshj2018-factorized,1,19,33.12,0.944,1.0007,0.3198,4.87 × 10^-4,1.35 × 10^-2
bmshj2018-factorized,1,20,30.85,0.9412,0.997,0.4561,8.23 × 10^-4,1.94 × 10^-2
bmshj2018-factorized,1,21,30.84,0.909,1.0193,0.4261,8.24 × 10^-4,2.07 × 10^-2
bmshj2018-factorized,1,22,34.56,0.9544,0.9993,0.2751,3.5 × 10^-4,1.28 × 10^-2
bmshj2018-factorized,1,23,29.1,0.9307,1.0008,0.5461,1.23 × 10^-3,2.3 × 10^-2
bmshj2018-factorized,1,0,31.16,0.9509,0.9996,0.9062,7.66 × 10^-4,2.09 × 10^-2
bmshj2018-factorized,1,1,33.65,0.9284,1.0256,0.4604,4.31 × 10^-4,1.47 × 10^-2
bmshj2018-factorized,1,2,35.7,0.9613,1.0093,0.3826,2.69 × 10^-4,1.13 × 10^-2
bmshj2018-factorized,1,3,33.89,0.9393,1.0042,0.4581,4.08 × 10^-4,1.46 × 10^-2
bmshj2018-factorized,1,4,31.35,0.9621,0.9992,0.9201,7.33 × 10^-4,2.01 × 10^-2
bmshj2018-factorized,1,5,32.33,0.9511,1.0052,0.6822,5.85 × 10^-4,1.75 × 10^-2
bmshj2018-factorized,1,6,35.22,0.973,1.0064,0.4744,3.01 × 10^-4,1.21 × 10^-2
bmshj2018-factorized,1,7,30.6,0.9569,1.0015,0.9709,8.7 × 10^-4,2.2 × 10^-2
bmshj2018-factorized,1,8,35.46,0.9598,0.999,0.3935,2.85 × 10^-4,1.2 × 10^-2
bmshj2018-factorized,1,9,35.03,0.9546,1.0017,0.4199,3.14 × 10^-4,1.28 × 10^-2
bmshj2018-factorized,1,10,32.75,0.9423,1.0041,0.5993,5.3 × 10^-4,1.65 × 10^-2
bmshj2018-factorized,1,11,35.07,0.9456,1.0063,0.3957,3.11 × 10^-4,1.27 × 10^-2
bmshj2018-factorized,1,12,28.8,0.9426,0.9931,1.1062,1.32 × 10^-3,2.7 × 10^-2
bmshj2018-factorized,1,13,31.66,0.9403,0.9986,0.7285,6.82 × 10^-4,1.94 × 10^-2
bmshj2018-factorized,1,14,33.86,0.9456,1.0032,0.4414,4.11 × 10^-4,1.37 × 10^-2
bmshj2018-factorized,1,15,33.91,0.9486,1.0001,0.4751,4.06 × 10^-4,1.45 × 10^-2
bmshj2018-factorized,1,16,34.35,0.9549,0.9995,0.4447,3.67 × 10^-4,1.34 × 10^-2
bmshj2018-factorized,1,17,31.1,0.9407,1.0016,0.7292,7.77 × 10^-4,1.99 × 10^-2
bmshj2018-factorized,1,18,33.09,0.9451,1.0024,0.5451,4.91 × 10^-4,1.61 × 10^-2
bmshj2018-factorized,1,19,34.8,0.9584,1.0009,0.4243,3.31 × 10^-4,1.14 × 10^-2
bmshj2018-factorized,1,20,32.77,0.9559,0.9998,0.6103,5.29 × 10^-4,1.6 × 10^-2
bmshj2018-factorized,1,21,32.54,0.935,1.0038,0.5907,5.58 × 10^-4,1.73 × 10^-2
bmshj2018-factorized,1,22,36.07,0.9625,0.9985,0.335,2.47 × 10^-4,1.1 × 10^-2
bmshj2018-factorized,1,23,31.11,0.9537,1.0006,0.7435,7.75 × 10^-4,1.86 × 10^-2
bmshj2018-factorized,1,0,32.89,0.9675,0.9992,1.1697,5.14 × 10^-4,1.72 × 10^-2
bmshj2018-factorized,1,1,35.2,0.9464,1.0205,0.6292,3.02 × 10^-4,1.26 × 10^-2
bmshj2018-factorized,1,2,37.35,0.9708,1.0046,0.49,1.84 × 10^-4,9.51 × 10^-3
bmshj2018-factorized,1,3,35.44,0.9556,1.0018,0.6192,2.86 × 10^-4,1.24 × 10^-2
bmshj2018-factorized,1,4,33.06,0.9744,0.9948,1.1671,4.94 × 10^-4,1.65 × 10^-2
bmshj2018-factorized,1,5,34.06,0.9665,0.9999,0.8882,3.92 × 10^-4,1.44 × 10^-2
bmshj2018-factorized,1,6,36.97,0.9795,0.9975,0.5992,2.01 × 10^-4,1.0 × 10^-2
bmshj2018-factorized,1,7,32.14,0.9691,0.9971,1.2234,6.11 × 10^-4,1.85 × 10^-2
bmshj2018-factorized,1,8,36.88,0.9667,0.9983,0.5016,2.05 × 10^-4,1.04 × 10^-2
bmshj2018-factorized,1,9,36.44,0.9639,1.0065,0.5402,2.27 × 10^-4,1.1 × 10^-2
bmshj2018-factorized,1,10,34.42,0.9609,0.9999,0.8027,3.61 × 10^-4,1.37 × 10^-2
bmshj2018-factorized,1,11,36.67,0.9599,1.0013,0.5308,2.15 × 10^-4,1.08 × 10^-2
bmshj2018-factorized,1,12,30.14,0.9616,0.9907,1.4135,9.69 × 10^-4,2.29 × 10^-2
bmshj2018-factorized,1,13,33.45,0.9606,1.001,0.9735,4.52 × 10^-4,1.58 × 10^-2
bmshj2018-factorized,1,14,35.44,0.9591,1.0003,0.5871,2.86 × 10^-4,1.16 × 10^-2
bmshj2018-factorized,1,15,35.87,0.9654,0.9984,0.6372,2.59 × 10^-4,1.18 × 10^-2
bmshj2018-factorized,1,16,35.83,0.966,1.0047,0.5777,2.61 × 10^-4,1.15 × 10^-2
bmshj2018-factorized,1,17,32.53,0.9562,1.0066,0.9534,5.59 × 10^-4,1.69 × 10^-2
bmshj2018-factorized,1,18,34.84,0.9618,0.9991,0.7333,3.28 × 10^-4,1.34 × 10^-2
bmshj2018-factorized,1,19,36.37,0.9688,1.0001,0.55,2.31 × 10^-4,9.78 × 10^-3
bmshj2018-factorized,1,20,34.31,0.9654,1.0007,0.7783,3.7 × 10^-4,1.36 × 10^-2
bmshj2018-factorized,1,21,34.15,0.9534,1.0027,0.7938,3.85 × 10^-4,1.45 × 10^-2
bmshj2018-factorized,1,22,37.52,0.9697,1.0048,0.4194,1.77 × 10^-4,9.43 × 10^-3
bmshj2018-factorized,1,23,32.47,0.9676,1.0037,0.959,5.66 × 10^-4,1.57 × 10^-2
bmshj2018-factorized,1,0,35.68,0.9817,0.9985,1.6879,2.7 × 10^-4,1.27 × 10^-2
bmshj2018-factorized,1,1,36.93,0.9621,1.0011,0.9419,2.03 × 10^-4,1.05 × 10^-2
bmshj2018-factorized,1,2,39.24,0.9786,1.0029,0.7094,1.19 × 10^-4,7.83 × 10^-3
bmshj2018-factorized,1,3,37.38,0.9686,1.0037,0.9132,1.83 × 10^-4,1.01 × 10^-2
bmshj2018-factorized,1,4,35.53,0.9842,0.9966,1.617,2.8 × 10^-4,1.26 × 10^-2
bmshj2018-factorized,1,5,36.63,0.9787,1.0003,1.2741,2.17 × 10^-4,1.1 × 10^-2
bmshj2018-factorized,1,6,38.88,0.9847,1.0003,0.8347,1.3 × 10^-4,8.21 × 10^-3
bmshj2018-factorized,1,7,34.81,0.9809,0.9953,1.7492,3.3 × 10^-4,1.39 × 10^-2
bmshj2018-factorized,1,8,38.54,0.9721,1.0001,0.715,1.4 × 10^-4,8.93 × 10^-3
bmshj2018-factorized,1,9,38.24,0.9718,0.9998,0.7785,1.5 × 10^-4,9.26 × 10^-3
bmshj2018-factorized,1,10,36.83,0.9747,1.0011,1.1735,2.08 × 10^-4,1.07 × 10^-2
bmshj2018-factorized,1,11,38.38,0.9706,1.0026,0.7789,1.45 × 10^-4,9.01 × 10^-3
bmshj2018-factorized,1,12,33.87,0.9813,0.9967,2.0905,4.1 × 10^-4,1.54 × 10^-2
bmshj2018-factorized,1,13,35.65,0.9747,1.0016,1.4029,2.73 × 10^-4,1.24 × 10^-2
bmshj2018-factorized,1,14,37.57,0.9713,1.0,0.8728,1.75 × 10^-4,9.46 × 10^-3
bmshj2018-factorized,1,15,37.99,0.9766,1.0001,0.9292,1.59 × 10^-4,9.45 × 10^-3
bmshj2018-factorized,1,16,37.9,0.9751,0.9998,0.8443,1.62 × 10^-4,9.4 × 10^-3
bmshj2018-factorized,1,17,35.06,0.9698,1.002,1.3945,3.12 × 10^-4,1.31 × 10^-2
bmshj2018-factorized,1,18,36.99,0.9732,1.0004,1.0674,2.0 × 10^-4,1.07 × 10^-2
bmshj2018-factorized,1,19,38.36,0.9765,1.0013,0.8004,1.46 × 10^-4,8.0 × 10^-3
bmshj2018-factorized,1,20,36.75,0.9738,0.9996,1.1271,2.11 × 10^-4,1.08 × 10^-2
bmshj2018-factorized,1,21,36.29,0.9684,1.0021,1.1803,2.35 × 10^-4,1.15 × 10^-2
bmshj2018-factorized,1,22,38.97,0.9752,0.9991,0.6094,1.27 × 10^-4,8.15 × 10^-3
bmshj2018-factorized,1,23,35.23,0.9795,1.0025,1.3934,3.0 × 10^-4,1.19 × 10^-2
bmshj2018-factorized,1,0,37.82,0.9885,0.9955,2.0925,1.65 × 10^-4,9.94 × 10^-3
bmshj2018-factorized,1,1,38.82,0.9742,0.9974,1.2717,1.31 × 10^-4,8.61 × 10^-3
bmshj2018-factorized,1,3,39.18,0.9783,0.9979,1.2195,1.21 × 10^-4,8.32 × 10^-3
bmshj2018-factorized,1,4,37.46,0.9895,0.9976,1.9989,1.8 × 10^-4,1.01 × 10^-2
bmshj2018-factorized,1,5,38.6,0.9857,1.0001,1.606,1.38 × 10^-4,8.82 × 10^-3
bmshj2018-factorized,1,7,36.84,0.9877,0.9981,2.1898,2.07 × 10^-4,1.1 × 10^-2
bmshj2018-factorized,1,8,39.99,0.9767,0.9989,0.9364,1.0 × 10^-4,7.71 × 10^-3
bmshj2018-factorized,1,9,39.86,0.9785,1.0029,1.0295,1.03 × 10^-4,7.78 × 10^-3
bmshj2018-factorized,1,10,38.87,0.9836,0.9992,1.5189,1.3 × 10^-4,8.53 × 10^-3
bmshj2018-factorized,1,12,35.91,0.9885,0.9964,2.5564,2.57 × 10^-4,1.22 × 10^-2
bmshj2018-factorized,1,13,37.63,0.9841,0.999,1.7962,1.72 × 10^-4,9.81 × 10^-3
bmshj2018-factorized,1,14,39.22,0.9789,0.9988,1.1376,1.2 × 10^-4,7.95 × 10^-3
bmshj2018-factorized,1,15,39.99,0.9842,1.0008,1.2023,1.0 × 10^-4,7.6 × 10^-3
bmshj2018-factorized,1,16,39.61,0.9819,1.002,1.1068,1.09 × 10^-4,7.8 × 10^-3
bmshj2018-factorized,1,17,36.88,0.9787,1.002,1.7994,2.05 × 10^-4,1.07 × 10^-2
bmshj2018-factorized,1,18,38.87,0.981,1.0011,1.391,1.3 × 10^-4,8.74 × 10^-3
bmshj2018-factorized,1,19,39.96,0.9813,0.9992,1.0251,1.01 × 10^-4,6.74 × 10^-3
bmshj2018-factorized,1,20,38.55,0.9796,0.9991,1.428,1.4 × 10^-4,8.94 × 10^-3
bmshj2018-factorized,1,21,38.09,0.9778,0.9985,1.5451,1.55 × 10^-4,9.43 × 10^-3
bmshj2018-factorized,1,23,36.77,0.9863,1.0014,1.7515,2.1 × 10^-4,9.73 × 10^-3
bmshj2018-factorized,1,0,39.96,0.9927,0.9978,2.5457,1.01 × 10^-4,7.81 × 10^-3
bmshj2018-factorized,1,4,39.5,0.9933,0.9985,2.4435,1.12 × 10^-4,7.96 × 10^-3
bmshj2018-factorized,1,7,38.83,0.9923,0.9981,2.6907,1.31 × 10^-4,8.76 × 10^-3
bmshj2018-factorized,1,12,37.87,0.9928,0.997,3.0612,1.63 × 10^-4,9.62 × 10^-3
bmshj2018-factorized,1,13,39.72,0.9902,0.9998,2.2564,1.07 × 10^-4,7.7 × 10^-3
bmshj2018-factorized,1,17,38.64,0.9861,1.003,2.294,1.37 × 10^-4,8.63 × 10^-3
bmshj2018-factorized,1,21,39.92,0.9847,0.9992,1.9753,1.02 × 10^-4,7.63 × 10^-3
bmshj2018-factorized,1,23,38.28,0.9908,0.9987,2.1656,1.49 × 10^-4,7.95 × 10^-3
bmshj2018-factorized,1,0,25.84,0.8507,1.0033,0.3201,2.61 × 10^-3,3.73 × 10^-2
bmshj2018-factorized,1,1,29.62,0.8701,1.0292,0.1936,1.09 × 10^-3,2.19 × 10^-2
bmshj2018-factorized,1,2,30.99,0.9177,1.0076,0.1865,7.96 × 10^-4,1.81 × 10^-2
bmshj2018-factorized,1,3,29.51,0.8794,1.0086,0.2032,1.12 × 10^-3,2.3 × 10^-2
bmshj2018-factorized,1,4,25.41,0.8746,1.0006,0.3647,2.87 × 10^-3,3.89 × 10^-2
bmshj2018-factorized,1,5,26.78,0.8597,1.0157,0.2545,2.1 × 10^-3,3.15 × 10^-2
bmshj2018-factorized,1,6,29.9,0.9369,1.0153,0.2379,1.02 × 10^-3,2.11 × 10^-2
bmshj2018-factorized,1,7,24.82,0.8814,1.0068,0.3897,3.3 × 10^-3,4.11 × 10^-2
bmshj2018-factorized,1,8,30.64,0.9258,1.009,0.2014,8.63 × 10^-4,1.88 × 10^-2
bmshj2018-factorized,1,9,30.05,0.9097,1.0114,0.2108,9.88 × 10^-4,2.08 × 10^-2
bmshj2018-factorized,1,10,27.79,0.8634,1.0088,0.2368,1.67 × 10^-3,2.75 × 10^-2
bmshj2018-factorized,1,11,30.83,0.8949,1.0089,0.1815,8.26 × 10^-4,1.93 × 10^-2
bmshj2018-factorized,1,12,23.21,0.8014,1.0085,0.3568,4.78 × 10^-3,4.98 × 10^-2
bmshj2018-factorized,1,13,26.54,0.8446,1.0087,0.2815,2.22 × 10^-3,3.35 × 10^-2
bmshj2018-factorized,1,14,29.68,0.8989,1.0005,0.2011,1.08 × 10^-3,2.08 × 10^-2
bmshj2018-factorized,1,15,29.0,0.8679,1.0119,0.197,1.26 × 10^-3,2.43 × 10^-2
bmshj2018-factorized,1,16,29.55,0.9054,1.013,0.211,1.11 × 10^-3,2.2 × 10^-2
bmshj2018-factorized,1,17,25.94,0.8461,1.0165,0.2728,2.54 × 10^-3,3.43 × 10^-2
bmshj2018-factorized,1,18,28.39,0.8773,1.016,0.2281,1.45 × 10^-3,2.62 × 10^-2
bmshj2018-factorized,1,19,30.25,0.9158,1.0082,0.1909,9.44 × 10^-4,1.75 × 10^-2
bmshj2018-factorized,1,20,27.47,0.8998,1.0062,0.2529,1.79 × 10^-3,2.71 × 10^-2
bmshj2018-factorized,1,21,27.96,0.8494,1.0449,0.2266,1.6 × 10^-3,2.79 × 10^-2
bmshj2018-factorized,1,22,31.57,0.9371,1.0044,0.1911,6.96 × 10^-4,1.72 × 10^-2
bmshj2018-factorized,1,23,25.65,0.8661,1.0196,0.2897,2.72 × 10^-3,3.32 × 10^-2
bmshj2018-factorized,1,0,27.43,0.8898,1.0091,0.4479,1.81 × 10^-3,3.14 × 10^-2
bmshj2018-factorized,1,1,30.8,0.8882,1.0147,0.2394,8.31 × 10^-4,1.95 × 10^-2
bmshj2018-factorized,1,2,32.43,0.9346,1.0081,0.2232,5.72 × 10^-4,1.55 × 10^-2
bmshj2018-factorized,1,3,30.91,0.9012,1.0093,0.2492,8.11 × 10^-4,1.98 × 10^-2
bmshj2018-factorized,1,4,27.44,0.9146,0.9974,0.5041,1.8 × 10^-3,3.11 × 10^-2
bmshj2018-factorized,1,5,28.54,0.8974,1.0046,0.3468,1.4 × 10^-3,2.62 × 10^-2
bmshj2018-factorized,1,6,31.77,0.9533,1.0137,0.2894,6.65 × 10^-4,1.71 × 10^-2
bmshj2018-factorized,1,7,26.69,0.9146,1.0045,0.527,2.14 × 10^-3,3.34 × 10^-2
bmshj2018-factorized,1,8,32.3,0.9404,1.0023,0.241,5.88 × 10^-4,1.6 × 10^-2
bmshj2018-factorized,1,9,31.84,0.9288,0.9991,0.2563,6.54 × 10^-4,1.75 × 10^-2
bmshj2018-factorized,1,10,29.31,0.891,1.0048,0.3109,1.17 × 10^-3,2.36 × 10^-2
bmshj2018-factorized,1,11,32.15,0.9122,1.0145,0.2184,6.09 × 10^-4,1.7 × 10^-2
bmshj2018-factorized,1,12,24.95,0.8584,1.0054,0.5297,3.2 × 10^-3,4.15 × 10^-2
bmshj2018-factorized,1,13,28.22,0.882,1.003,0.378,1.5 × 10^-3,2.81 × 10^-2
bmshj2018-factorized,1,14,31.02,0.9142,1.0034,0.2437,7.91 × 10^-4,1.81 × 10^-2
bmshj2018-factorized,1,15,30.51,0.8994,0.9981,0.2493,8.89 × 10^-4,2.08 × 10^-2
bmshj2018-factorized,1,16,31.2,0.9252,1.0082,0.2607,7.59 × 10^-4,1.86 × 10^-2
bmshj2018-factorized,1,17,27.66,0.8871,1.0203,0.3832,1.71 × 10^-3,2.86 × 10^-2
bmshj2018-factorized,1,18,29.83,0.8993,0.9992,0.2855,1.04 × 10^-3,2.26 × 10^-2
bmshj2018-factorized,1,19,31.64,0.9293,1.0047,0.2336,6.86 × 10^-4,1.54 × 10^-2
bmshj2018-factorized,1,20,29.21,0.9242,1.0087,0.3321,1.2 × 10^-3,2.28 × 10^-2
bmshj2018-factorized,1,21,29.36,0.8806,1.031,0.2983,1.16 × 10^-3,2.41 × 10^-2
bmshj2018-factorized,1,22,33.19,0.9469,1.0098,0.2204,4.79 × 10^-4,1.46 × 10^-2
bmshj2018-factorized,1,23,27.42,0.9016,1.0051,0.3956,1.81 × 10^-3,2.77 × 10^-2
bmshj2018-factorized,1,0,29.3,0.9253,1.0102,0.6364,1.18 × 10^-3,2.57 × 10^-2
bmshj2018-factorized,1,1,32.2,0.9073,1.0254,0.3119,6.02 × 10^-4,1.71 × 10^-2
bmshj2018-factorized,1,2,34.14,0.9495,1.0108,0.2809,3.86 × 10^-4,1.32 × 10^-2
bmshj2018-factorized,1,3,32.39,0.921,1.0047,0.3229,5.77 × 10^-4,1.7 × 10^-2
bmshj2018-factorized,1,4,29.5,0.9426,1.001,0.6836,1.12 × 10^-3,2.48 × 10^-2
bmshj2018-factorized,1,5,30.46,0.9277,1.0059,0.48,9.0 × 10^-4,2.14 × 10^-2
bmshj2018-factorized,1,6,33.57,0.965,1.0043,0.3598,4.4 × 10^-4,1.42 × 10^-2
bmshj2018-factorized,1,7,28.73,0.9392,1.0052,0.7184,1.34 × 10^-3,2.69 × 10^-2
bmshj2018-factorized,1,8,33.88,0.9516,1.0019,0.2981,4.09 × 10^-4,1.38 × 10^-2
bmshj2018-factorized,1,9,33.56,0.9436,0.9992,0.3185,4.41 × 10^-4,1.48 × 10^-2
bmshj2018-factorized,1,10,30.99,0.9179,1.006,0.422,7.97 × 10^-4,1.98 × 10^-2
bmshj2018-factorized,1,11,33.54,0.9291,1.0096,0.2742,4.42 × 10^-4,1.48 × 10^-2
bmshj2018-factorized,1,12,26.95,0.9082,0.998,0.7831,2.02 × 10^-3,3.34 × 10^-2
bmshj2018-factorized,1,13,29.98,0.9141,1.0049,0.5216,1.0 × 10^-3,2.33 × 10^-2
bmshj2018-factorized,1,14,32.52,0.9309,1.005,0.3161,5.6 × 10^-4,1.56 × 10^-2
bmshj2018-factorized,1,15,32.22,0.9265,1.0107,0.3356,6.0 × 10^-4,1.74 × 10^-2
bmshj2018-factorized,1,16,32.78,0.9411,1.0051,0.3317,5.27 × 10^-4,1.58 × 10^-2
bmshj2018-factorized,1,17,29.48,0.9187,1.013,0.528,1.13 × 10^-3,2.37 × 10^-2
bmshj2018-factorized,1,18,31.44,0.9238,0.9995,0.38,7.18 × 10^-4,1.91 × 10^-2
bmshj2018-factorized,1,19,33.19,0.9444,1.0043,0.2978,4.8 × 10^-4,1.33 × 10^-2
bmshj2018-factorized,1,20,31.04,0.9427,1.001,0.4491,7.88 × 10^-4,1.9 × 10^-2
bmshj2018-factorized,1,21,30.9,0.9098,1.016,0.4099,8.13 × 10^-4,2.06 × 10^-2
bmshj2018-factorized,1,22,34.78,0.9558,1.0045,0.2628,3.33 × 10^-4,1.24 × 10^-2
bmshj2018-factorized,1,23,29.32,0.9317,1.0074,0.5411,1.17 × 10^-3,2.26 × 10^-2
bmshj2018-factorized,1,0,31.26,0.9517,1.0068,0.8931,7.47 × 10^-4,2.07 × 10^-2
bmshj2018-factorized,1,1,33.63,0.9277,1.0093,0.4235,4.34 × 10^-4,1.48 × 10^-2
bmshj2018-factorized,1,2,35.76,0.9618,1.0006,0.3667,2.65 × 10^-4,1.11 × 10^-2
bmshj2018-factorized,1,3,33.94,0.9402,1.0019,0.4346,4.04 × 10^-4,1.45 × 10^-2
bmshj2018-factorized,1,4,31.48,0.9626,0.9987,0.9146,7.11 × 10^-4,1.99 × 10^-2
bmshj2018-factorized,1,5,32.45,0.951,1.0068,0.6622,5.69 × 10^-4,1.73 × 10^-2
bmshj2018-factorized,1,6,35.36,0.9738,1.0013,0.4561,2.91 × 10^-4,1.18 × 10^-2
bmshj2018-factorized,1,7,30.69,0.9571,1.0021,0.9632,8.54 × 10^-4,2.18 × 10^-2
bmshj2018-factorized,1,8,35.48,0.9603,1.0,0.3762,2.83 × 10^-4,1.19 × 10^-2
bmshj2018-factorized,1,9,35.05,0.955,1.0041,0.4039,3.12 × 10^-4,1.27 × 10^-2
bmshj2018-factorized,1,10,32.75,0.9415,1.0027,0.5784,5.31 × 10^-4,1.65 × 10^-2
bmshj2018-factorized,1,11,35.06,0.9456,0.9975,0.3626,3.12 × 10^-4,1.27 × 10^-2
bmshj2018-factorized,1,12,28.95,0.9433,0.9992,1.108,1.27 × 10^-3,2.67 × 10^-2
bmshj2018-factorized,1,13,31.76,0.9408,1.0015,0.7237,6.66 × 10^-4,1.92 × 10^-2
bmshj2018-factorized,1,14,34.01,0.9466,1.001,0.4242,3.97 × 10^-4,1.35 × 10^-2
bmshj2018-factorized,1,15,34.05,0.9493,1.0015,0.4627,3.93 × 10^-4,1.43 × 10^-2
bmshj2018-factorized,1,16,34.4,0.955,0.9987,0.4326,3.63 × 10^-4,1.34 × 10^-2
bmshj2018-factorized,1,17,31.17,0.941,1.0061,0.7203,7.63 × 10^-4,1.98 × 10^-2
bmshj2018-factorized,1,18,33.16,0.946,1.0,0.5269,4.83 × 10^-4,1.6 × 10^-2
bmshj2018-factorized,1,19,34.82,0.9584,0.9987,0.3927,3.3 × 10^-4,1.13 × 10^-2
bmshj2018-factorized,1,20,32.93,0.9568,1.0033,0.5989,5.09 × 10^-4,1.57 × 10^-2
bmshj2018-factorized,1,21,32.57,0.9348,1.0111,0.5687,5.53 × 10^-4,1.72 × 10^-2
bmshj2018-factorized,1,22,36.19,0.9635,0.9974,0.3219,2.41 × 10^-4,1.08 × 10^-2
bmshj2018-factorized,1,23,31.23,0.9534,0.9993,0.7347,7.54 × 10^-4,1.84 × 10^-2
bmshj2018-factorized,1,0,33.71,0.971,1.0005,1.3105,4.26 × 10^-4,1.59 × 10^-2
bmshj2018-factorized,1,1,35.28,0.9468,1.0181,0.6574,2.97 × 10^-4,1.25 × 10^-2
bmshj2018-factorized,1,2,37.66,0.972,1.0095,0.5426,1.71 × 10^-4,9.23 × 10^-3
bmshj2018-factorized,1,3,35.69,0.9562,1.0118,0.6673,2.7 × 10^-4,1.21 × 10^-2
bmshj2018-factorized,1,4,33.85,0.9767,1.0011,1.2789,4.12 × 10^-4,1.53 × 10^-2
bmshj2018-factorized,1,5,34.72,0.9676,0.9982,0.9792,3.37 × 10^-4,1.36 × 10^-2
bmshj2018-factorized,1,6,37.32,0.9806,1.0085,0.6493,1.86 × 10^-4,9.64 × 10^-3
bmshj2018-factorized,1,7,33.15,0.9712,0.9984,1.3766,4.84 × 10^-4,1.68 × 10^-2
bmshj2018-factorized,1,8,37.13,0.9672,1.0052,0.5532,1.94 × 10^-4,1.02 × 10^-2
bmshj2018-factorized,1,9,36.71,0.9642,1.0061,0.5863,2.13 × 10^-4,1.08 × 10^-2
